"event_id","gender","level","threshold","standard_system","source"
"1","1","1","9.8","3","World Athletics-Elite（男子100m世界纪录≈9.58）"
"1","1","2","10.5","3","World Athletics-First（精英门槛）"
"1","2","1","10.8","3","World Athletics-Elite（女子100m世界纪录≈10.49）"
"1","2","2","11.8","3","World Athletics-First（精英门槛）"
"2","1","1","19.8","3","World Athletics-Elite（200m）"
"2","1","2","21","3","World Athletics-First（200m）"
"2","2","1","21.8","3","World Athletics-Elite（200m）"
"2","2","2","23.5","3","World Athletics-First（200m）"
"3","1","1","44","3","World Athletics-Elite（400m）"
"3","1","2","47","3","World Athletics-First（400m）"
"3","2","1","49","3","World Athletics-Elite（400m）"
"3","2","2","52","3","World Athletics-First（400m）"
"6","1","1","205","3","World Athletics-Elite（1500m = 3:25.00）"
"6","1","2","225","3","World Athletics-First（1500m = 3:45.00）"
"6","2","1","230","3","World Athletics-Elite（1500m = 3:50.00）"
"6","2","2","250","3","World Athletics-First（1500m = 4:10.00）"
"10","1","1","750","3","World Athletics-Elite（5km = 12:30）"
"10","1","2","900","3","World Athletics-First（5km = 15:00）"
"10","2","1","840","3","World Athletics-Elite（5km = 14:00）"
"10","2","2","1020","3","World Athletics-First（5km = 17:00）"
"12","1","1","3600","3","World Athletics-Elite（半马 = 1:00:00）"
"12","1","2","5400","3","World Athletics-First（半马 = 1:30:00）"
"12","2","1","4080","3","World Athletics-Elite（半马 = 1:08:00）"
"12","2","2","6300","3","World Athletics-First（半马 = 1:45:00）"
"14","1","1","7200","3","World Athletics-Elite（全马 = 2:00:00）"
"14","1","2","10800","3","World Athletics-First（全马 = 3:00:00）"
"14","2","1","8100","3","World Athletics-Elite（全马 = 2:15:00）"
"14","2","2","12600","3","World Athletics-First（全马 = 3:30:00)"
